department,total_orders,reorder_rate,order_share_pct,gap_to_benchmark,action_segment
frozen,2236432,0.5419,6.895228101173415,0.020823809523809578,Defend
other,36291,0.408,0.1118901549520327,-0.1130761904761905,Niche Monitor
bakery,1176787,0.6281,3.628196516368733,0.10702380952380952,Defend
produce,9479291,0.6499,29.22596067414535,0.12882380952380956,Defend
alcohol,153696,0.5699,0.47386595176511026,0.04882380952380949,Grow Selectively
international,269253,0.3692,0.8301441098702064,-0.1518761904761905,Niche Monitor
beverages,2690129,0.6535,8.294038484774648,0.1324238095238095,Defend
pets,97724,0.6013,0.30129656120064047,0.08022380952380948,Grow Selectively
dry goods pasta,866627,0.4611,2.6719304873278564,-0.05997619047619046,Fix First
bulk,34573,0.577,0.10659332416182046,0.05592380952380949,Grow Selectively
personal care,447123,0.3211,1.3785418355134251,-0.19997619047619047,Niche Monitor
meat seafood,708931,0.5677,2.185731984246769,0.04662380952380951,Grow Selectively
pantry,1875577,0.3467,5.782662399891671,-0.17437619047619046,Fix First
breakfast,709569,0.5609,2.1876990261816673,0.039823809523809484,Grow Selectively
canned goods,1068058,0.4574,3.2929700233600103,-0.0636761904761905,Fix First
dairy eggs,5414016,0.67,16.69215753638049,0.14892380952380957,Defend
household,738666,0.4022,2.277409087591915,-0.11887619047619047,Fix First
babies,423802,0.579,1.3066399782034488,0.05792380952380949,Grow Selectively
snacks,2887550,0.5742,8.902714638112535,0.05312380952380957,Defend
deli,1051249,0.6077,3.2411455595924448,0.08662380952380955,Defend
missing,69145,0.3958,0.21318356518581194,-0.12527619047619049,Niche Monitor
