department,total_orders,rank,share_pct,cum_share_pct
produce,9479291,1,29.22596067414535,29.22596067414535
dairy eggs,5414016,2,16.69215753638049,45.91811821052584
snacks,2887550,3,8.902714638112535,54.820832848638375
beverages,2690129,4,8.294038484774648,63.11487133341302
frozen,2236432,5,6.895228101173415,70.01009943458644
pantry,1875577,6,5.782662399891671,75.79276183447811
bakery,1176787,7,3.628196516368733,79.42095835084685
canned goods,1068058,8,3.2929700233600103,82.71392837420686
deli,1051249,9,3.2411455595924448,85.9550739337993
dry goods pasta,866627,10,2.6719304873278564,88.62700442112715
household,738666,11,2.277409087591915,90.90441350871907
breakfast,709569,12,2.1876990261816673,93.09211253490074
meat seafood,708931,13,2.185731984246769,95.27784451914751
personal care,447123,14,1.3785418355134251,96.65638635466094
babies,423802,15,1.3066399782034488,97.96302633286439
international,269253,16,0.8301441098702064,98.79317044273459
alcohol,153696,17,0.47386595176511026,99.2670363944997
pets,97724,18,0.30129656120064047,99.56833295570034
missing,69145,19,0.21318356518581194,99.78151652088616
other,36291,20,0.1118901549520327,99.8934066758382
bulk,34573,21,0.10659332416182046,100.00000000000001
