order_hour_of_day,total_orders,rank,share_pct,cum_share_pct
10,271885,1,8.457096607829731,8.457096607829731
11,268006,2,8.336438690909814,16.793535298739545
15,266132,3,8.278147137337264,25.07168243607681
14,265556,4,8.260230416495327,33.33191285257214
13,261174,5,8.123926474256844,41.45583932682898
12,256206,6,7.9693947569951415,49.42523408382412
16,255949,7,7.961400664536153,57.38663474836027
9,243496,8,7.574044892583659,64.96067964094394
17,214080,9,6.6590479129197595,71.6197275538637
18,170998,10,5.318964289113664,76.93869184297736
8,168321,11,5.235695084784038,82.1743869277614
19,131620,12,4.094095134055021,86.26848206181643
20,98109,13,3.051721467155478,89.3202035289719
7,86656,14,2.695471113331347,92.01567464230325
21,73436,15,2.2842574856743996,94.29993212797766
22,57540,16,1.7898057591059557,96.08973788708361
23,37613,17,1.1699680920620839,97.25970597914569
6,28792,18,0.8955871987518018,98.15529317789749
0,21372,19,0.6647849962393549,98.82007817413684
1,11596,20,0.360698428616487,99.18077660275333
5,8972,21,0.2790778114476648,99.45985441420099
2,7070,22,0.21991530616752009,99.67976972036851
4,5175,23,0.1609705388142739,99.84074025918278
3,5120,24,0.15925974081721397,100.0
