product_name,total_orders,rank,share_pct,cum_share_pct
Banana,472565,1,1.4569830281586986,1.4569830281586986
Bag of Organic Bananas,379450,2,1.169896649211893,2.6268796773705914
Organic Strawberries,264683,3,0.8160541699917023,3.4429338473622937
Organic Baby Spinach,241921,4,0.7458757867281337,4.188809634090427
Organic Hass Avocado,213584,5,0.6585089100679218,4.847318544158349
Organic Avocado,176815,6,0.5451450152336299,5.392463559391979
Large Lemon,152657,7,0.47066257156078517,5.8631261309527645
Strawberries,142951,8,0.44073763579256636,6.303863766745331
Limes,140627,9,0.4335724234779836,6.737436190223314
Organic Whole Milk,137905,10,0.42518012230746105,7.162616312530775
Organic Raspberries,137057,11,0.42256562142847387,7.585181933959249
Organic Yellow Onion,113426,12,0.3497079913915092,7.934889925350758
Organic Garlic,109778,13,0.3384607045913379,8.273350629942096
Organic Zucchini,104823,14,0.3231837566486711,8.596534386590767
Organic Blueberries,100060,15,0.3084987711691712,8.905033157759938
Cucumber Kirby,97315,16,0.30003555782858177,9.205068715588519
Organic Fuji Apple,89632,17,0.27634780988841845,9.481416525476938
Organic Lemon,87746,18,0.27053301194293516,9.751949537419874
Apple Honeycrisp Organic,85020,19,0.2621283782210967,10.01407791564097
Organic Grape Tomatoes,84255,20,0.259769777781916,10.273847693422885
Seedless Red Grapes,82689,21,0.25494158394171096,10.528789277364597
Organic Cucumber,80392,22,0.247859616348511,10.776648893713109
Honeycrisp Apple,79769,23,0.24593882148104754,11.022587715194156
Organic Baby Carrots,76896,24,0.23708096649834687,11.259668681692503
Organic Half & Half,76360,25,0.23542840462200593,11.495097086314509
Sparkling Water Grapefruit,75886,26,0.2339669972910626,11.729064083605572
Organic Large Extra Fancy Fuji Apple,75165,27,0.23174405491635772,11.96080813852193
Yellow Onions,73167,28,0.22558394553402705,12.186392084055957
Organic Gala Apples,72846,29,0.2245942582909199,12.410986342346876
Organic Baby Arugula,72829,30,0.22454184494782697,12.635528187294703
Carrots,72736,31,0.2242551131297305,12.859783300424434
Fresh Cauliflower,71584,32,0.22070333835072906,13.080486638775163
Original Hummus,71314,33,0.2198708911369006,13.300357529912064
Organic Cilantro,69524,34,0.21435207442300078,13.514709604335065
Half & Half,69217,35,0.21340555110949952,13.728115155444565
Organic Small Bunch Celery,68091,36,0.20993393791405193,13.938049093358616
Michigan Organic Kale,67449,37,0.20795456342783758,14.146003656786453
Asparagus,67283,38,0.20744276254822452,14.353446419334677
Organic Red Onion,66986,39,0.2065270706130132,14.55997348994769
Organic Tomato Cluster,64289,40,0.19821184788821553,14.758185337835906
