order_hour_of_day,total_orders,reorder_count,reorder_rate_pct
0,218948,123815,56.55
1,115786,64506,55.71
2,69434,38498,55.45
3,51321,28714,55.95
4,53283,30435,57.12
5,88062,53537,60.79
6,290795,185090,63.65
7,891937,574829,64.45
8,1719973,1086821,63.19
9,2456713,1521808,61.94
10,2764426,1659507,60.03
11,2738582,1608436,58.73
12,2620847,1518278,57.93
13,2663292,1544465,57.99
14,2691548,1564597,58.13
15,2664533,1547395,58.07
16,2537458,1468246,57.86
17,2089465,1200970,57.48
18,1637923,939245,57.34
19,1259401,723183,57.42
20,977038,568897,58.23
21,796370,470400,59.07
22,634734,371484,58.53
23,402620,233380,57.97
