product_name,reorder_count,total_orders,reorder_rate
Banana,398609,472565,0.8435
Bag of Organic Bananas,315913,379450,0.8326
Organic Strawberries,205845,264683,0.7777
Organic Baby Spinach,186884,241921,0.7725
Organic Hass Avocado,170131,213584,0.7966
Organic Avocado,134044,176815,0.7581
Organic Whole Milk,114510,137905,0.8304
Large Lemon,106255,152657,0.696
Organic Raspberries,105409,137057,0.7691
Strawberries,99802,142951,0.6982
Limes,95768,140627,0.681
Organic Yellow Onion,79072,113426,0.6971
Organic Garlic,74663,109778,0.6801
Organic Zucchini,72165,104823,0.6884
Cucumber Kirby,67313,97315,0.6917
